time,open,high,low,close,Plot,New Moon,First Moon,Waning,Full Moon,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars
1717979400,2295.84,2296.82,2294.62,2295.77,2298.975,NaN,NaN,NaN,NaN,2309.8582955289935,2338.8101435546646,0,0,0,0,0,0
1717980300,2295.76,2297.19,2294.85,2297.1,2297.605,NaN,NaN,NaN,NaN,2309.357970214131,2338.395117250638,0,0,0,0,0,0
1717981200,2297.09,2297.18,2293.99,2295.1,2297.605,NaN,NaN,NaN,NaN,2308.798834127302,2337.9643200640644,0,0,0,0,0,0
1717982100,2295.1,2296.34,2294.33,2294.94,2297.035,NaN,NaN,NaN,NaN,2308.2553504360353,2337.53621737686,0,0,0,0,0,0
1717983000,2294.93,2297.53,2294.78,2297.29,2296.2200000000003,NaN,NaN,NaN,NaN,2307.8253366934455,2337.135757502463,0,0,0,0,0,0
1717983900,2297.3,2297.99,2296.51,2297.67,2296.01,NaN,NaN,NaN,NaN,2307.427088195663,2336.743063397961,0,0,0,0,0,0
1717984800,2297.66,2301.42,2296.83,2299.83,2294.575,NaN,NaN,NaN,NaN,2307.129163168382,2336.375769234797,0,0,0,0,0,0
1717985700,2299.84,2300.15,2297.92,2298.78,2294.2200000000003,NaN,NaN,NaN,NaN,2306.801745004916,2336.0016819787297,0,0,0,0,0,0
1717986600,2298.82,2298.9,2295.88,2297.29,2294.135,NaN,NaN,NaN,NaN,2306.4287353968803,2335.6164911132696,0,0,0,0,0,0
1717987500,2297.26,2297.27,2295.58,2296.34,2294.135,NaN,NaN,NaN,NaN,2306.0330987146494,2335.225680256421,0,0,0,0,0,0
1717988400,2296.32,2297.8,2295.23,2296.17,2294.135,NaN,NaN,NaN,NaN,2305.646310529761,2334.8370665225266,0,0,0,0,0,0
1717989300,2296.16,2296.74,2294.95,2296.65,2294.135,NaN,NaN,NaN,NaN,2305.293514038398,2334.457095711357,0,0,0,0,0,0
1717990200,2296.64,2296.84,2295.46,2295.85,2294.215,NaN,NaN,NaN,NaN,2304.9231801545393,2334.0729455052738,0,0,0,0,0,0
1717991100,2295.84,2295.93,2295.01,2295.37,2295.52,NaN,NaN,NaN,NaN,2304.548545638675,2333.687841569898,0,0,0,0,0,0
1717992000,2295.37,2295.47,2292.82,2294.1,2295.52,NaN,NaN,NaN,NaN,2304.138798750884,2333.2939326985556,0,1,0,0,0,0
1717992900,2294.1,2295.77,2293.8,2295.02,2295.52,NaN,NaN,NaN,NaN,2303.781198799869,2332.9130975473263,0,0,0,0,0,0
1717993800,2295.02,2295.82,2294.44,2295.53,2297.12,NaN,NaN,NaN,NaN,2303.4576223763447,2332.5411264274526,0,0,0,0,0,0
1717994700,2295.53,2295.67,2293.51,2294.88,2297.12,NaN,NaN,NaN,NaN,2303.121245028253,2332.16638885106,0,0,0,0,0,0
1717995600,2294.89,2295.65,2292.98,2293.66,2297.12,NaN,NaN,NaN,NaN,2302.7502158114585,2331.7832407032884,0,0,0,0,0,0
1717996500,2293.67,2296.07,2292.23,2295.59,2296.825,NaN,NaN,NaN,NaN,2302.4694230345385,2331.423108954997,0,0,0,0,0,0
1717997400,2295.61,2297.3,2295.25,2297.11,2296.825,NaN,NaN,NaN,NaN,2302.2592495822037,2331.081684985296,0,0,0,0,0,0
1717998300,2297.1,2297.36,2295.67,2295.74,2296.825,NaN,NaN,NaN,NaN,2302.0035927358426,2330.730026428228,0,0,0,0,0,0
1717999200,2295.76,2296.59,2292.98,2295.26,2296.825,NaN,NaN,NaN,NaN,2301.739138118751,2330.3770908418774,0,0,0,0,0,0
1718000100,2295.22,2295.22,2290.56,2290.62,2295.99,NaN,NaN,NaN,NaN,2301.303093486643,2329.981497898177,0,0,0,0,0,0
1718001000,2290.64,2294.42,2287.81,2288.86,2294.615,NaN,NaN,NaN,NaN,2300.815129036186,2329.572328764862,0,0,0,0,0,0
